id,carrera,puntaje,vacante,observacion,segunda_opcion
286109,INGENIERÍA ELÉCTRICA - CHILCA,735.75,3.0,ALCANZO VACANTE,
250308,INGENIERÍA ELÉCTRICA - CHILCA,645.125,7.0,ALCANZO VACANTE,
254513,INGENIERÍA ELÉCTRICA - CHILCA,678.125,5.0,ALCANZO VACANTE,
302296,INGENIERÍA ELÉCTRICA - CHILCA,492.25,12.0,ALCANZO VACANTE,
231012,INGENIERÍA ELÉCTRICA - CHILCA,662.5,6.0,ALCANZO VACANTE,
238747,INGENIERÍA ELÉCTRICA - CHILCA,529.5,11.0,ALCANZO VACANTE,
222936,INGENIERÍA ELÉCTRICA - CHILCA,754.75,2.0,ALCANZO VACANTE,
263501,INGENIERÍA ELÉCTRICA - CHILCA,267.0,,,
235432,INGENIERÍA ELÉCTRICA - CHILCA,620.0,9.0,ALCANZO VACANTE,
276584,INGENIERÍA ELÉCTRICA - CHILCA,632.0,8.0,ALCANZO VACANTE,
222022,INGENIERÍA ELÉCTRICA - CHILCA,583.375,10.0,ALCANZO VACANTE,
265355,INGENIERÍA ELÉCTRICA - CHILCA,889.25,1.0,ALCANZO VACANTE,
222495,INGENIERÍA ELÉCTRICA - CHILCA,686.125,4.0,ALCANZO VACANTE,
