id,carrera,puntaje,vacante,observacion,segunda_opcion
308860,INGENIERÍA ELÉCTRICA,1097.875,,,
236987,INGENIERÍA ELÉCTRICA,581.75,,,
280549,INGENIERÍA ELÉCTRICA,387.25,,,
220942,INGENIERÍA ELÉCTRICA,989.5,,,
232144,INGENIERÍA ELÉCTRICA,1183.5,6.0,ALCANZO VACANTE,
288617,INGENIERÍA ELÉCTRICA,1144.125,14.0,ALCANZO VACANTE,
302251,INGENIERÍA ELÉCTRICA,684.25,,,
252624,INGENIERÍA ELÉCTRICA,469.625,,,
298565,INGENIERÍA ELÉCTRICA,773.5,,,
300457,INGENIERÍA ELÉCTRICA,1084.625,,,
260796,INGENIERÍA ELÉCTRICA,1178.375,7.0,ALCANZO VACANTE,
273003,INGENIERÍA ELÉCTRICA,983.125,,,
232290,INGENIERÍA ELÉCTRICA,1075.625,,,
288498,INGENIERÍA ELÉCTRICA,766.0,,,
220230,INGENIERÍA ELÉCTRICA,1121.875,17.0,ALCANZO VACANTE,
221082,INGENIERÍA ELÉCTRICA,754.75,,,
305895,INGENIERÍA ELÉCTRICA,741.625,,,
307885,INGENIERÍA ELÉCTRICA,982.0,,,
245370,INGENIERÍA ELÉCTRICA,984.25,,,
280970,INGENIERÍA ELÉCTRICA,793.25,,,
274212,INGENIERÍA ELÉCTRICA,801.0,,,
242427,INGENIERÍA ELÉCTRICA,589.625,,,
282904,INGENIERÍA ELÉCTRICA,795.375,,,
231169,INGENIERÍA ELÉCTRICA,448.5,,,
227394,INGENIERÍA ELÉCTRICA,988.75,,,
287255,INGENIERÍA ELÉCTRICA,1149.25,12.0,ALCANZO VACANTE,
274854,INGENIERÍA ELÉCTRICA,1325.125,2.0,ALCANZO VACANTE,
234992,INGENIERÍA ELÉCTRICA,1122.375,16.0,ALCANZO VACANTE,
229106,INGENIERÍA ELÉCTRICA,827.25,,,
275818,INGENIERÍA ELÉCTRICA,893.5,,,
220103,INGENIERÍA ELÉCTRICA,754.875,,,
259967,INGENIERÍA ELÉCTRICA,811.625,,,
292096,INGENIERÍA ELÉCTRICA,970.0,,,
239124,INGENIERÍA ELÉCTRICA,837.875,,,
269466,INGENIERÍA ELÉCTRICA,661.125,,,
294410,INGENIERÍA ELÉCTRICA,744.375,,,
224065,INGENIERÍA ELÉCTRICA,1160.125,10.0,ALCANZO VACANTE,
265986,INGENIERÍA ELÉCTRICA,960.5,,,
300829,INGENIERÍA ELÉCTRICA,1101.625,,,
236998,INGENIERÍA ELÉCTRICA,1220.625,4.0,ALCANZO VACANTE,
301077,INGENIERÍA ELÉCTRICA,815.625,,,
297185,INGENIERÍA ELÉCTRICA,977.0,,,
269543,INGENIERÍA ELÉCTRICA,1034.125,,,
289128,INGENIERÍA ELÉCTRICA,745.75,,,
238718,INGENIERÍA ELÉCTRICA,886.0,,,
240936,INGENIERÍA ELÉCTRICA,898.625,,,
250868,INGENIERÍA ELÉCTRICA,498.125,,,
278990,INGENIERÍA ELÉCTRICA,979.125,,,
306703,INGENIERÍA ELÉCTRICA,911.125,,,
286683,INGENIERÍA ELÉCTRICA,972.375,,,
252435,INGENIERÍA ELÉCTRICA,1240.625,3.0,ALCANZO VACANTE,
290457,INGENIERÍA ELÉCTRICA,1036.125,,,
265565,INGENIERÍA ELÉCTRICA,1043.0,,,
256036,INGENIERÍA ELÉCTRICA,588.0,,,
267212,INGENIERÍA ELÉCTRICA,667.875,,,
229943,INGENIERÍA ELÉCTRICA,1122.375,15.0,ALCANZO VACANTE,
273219,INGENIERÍA ELÉCTRICA,853.125,,,
297478,INGENIERÍA ELÉCTRICA,665.125,,,
302031,INGENIERÍA ELÉCTRICA,1335.375,1.0,ALCANZO VACANTE,
260847,INGENIERÍA ELÉCTRICA,839.25,,,
300532,INGENIERÍA ELÉCTRICA,960.875,,,
238721,INGENIERÍA ELÉCTRICA,620.125,,,
295615,INGENIERÍA ELÉCTRICA,610.875,,,
303216,INGENIERÍA ELÉCTRICA,754.75,,,
291479,INGENIERÍA ELÉCTRICA,641.625,,,
243412,INGENIERÍA ELÉCTRICA,792.375,,,
298228,INGENIERÍA ELÉCTRICA,992.25,,,
230295,INGENIERÍA ELÉCTRICA,892.875,,,
240137,INGENIERÍA ELÉCTRICA,898.625,,,
281162,INGENIERÍA ELÉCTRICA,1049.875,,,
281142,INGENIERÍA ELÉCTRICA,955.125,,,
254412,INGENIERÍA ELÉCTRICA,1025.625,,,
227686,INGENIERÍA ELÉCTRICA,785.0,,,
291791,INGENIERÍA ELÉCTRICA,830.125,,,
288516,INGENIERÍA ELÉCTRICA,878.625,,,
305329,INGENIERÍA ELÉCTRICA,1160.125,9.0,ALCANZO VACANTE,
238367,INGENIERÍA ELÉCTRICA,840.25,,,
245857,INGENIERÍA ELÉCTRICA,941.75,,,
276603,INGENIERÍA ELÉCTRICA,953.25,,,
266445,INGENIERÍA ELÉCTRICA,741.375,,,
257058,INGENIERÍA ELÉCTRICA,531.5,,,
220164,INGENIERÍA ELÉCTRICA,,,AUSENTE,
265482,INGENIERÍA ELÉCTRICA,,,AUSENTE,
303061,INGENIERÍA ELÉCTRICA,980.75,,,
304348,INGENIERÍA ELÉCTRICA,848.375,,,
254885,INGENIERÍA ELÉCTRICA,780.125,,,
229692,INGENIERÍA ELÉCTRICA,813.5,,,
282133,INGENIERÍA ELÉCTRICA,843.125,,,
242899,INGENIERÍA ELÉCTRICA,949.5,,,
284320,INGENIERÍA ELÉCTRICA,1174.25,8.0,ALCANZO VACANTE,
287799,INGENIERÍA ELÉCTRICA,885.5,,,
246608,INGENIERÍA ELÉCTRICA,991.25,,,
270498,INGENIERÍA ELÉCTRICA,1012.25,,,
278050,INGENIERÍA ELÉCTRICA,977.375,,,
249127,INGENIERÍA ELÉCTRICA,1062.5,,,
273942,INGENIERÍA ELÉCTRICA,912.25,,,
235519,INGENIERÍA ELÉCTRICA,1054.5,,,
265206,INGENIERÍA ELÉCTRICA,669.125,,,
238455,INGENIERÍA ELÉCTRICA,894.625,,,
304736,INGENIERÍA ELÉCTRICA,844.375,,,
240003,INGENIERÍA ELÉCTRICA,927.75,,,
302079,INGENIERÍA ELÉCTRICA,1035.5,,,
254991,INGENIERÍA ELÉCTRICA,1041.5,,,
277994,INGENIERÍA ELÉCTRICA,912.875,,,
295602,INGENIERÍA ELÉCTRICA,646.75,,,
295873,INGENIERÍA ELÉCTRICA,822.125,,,
