id,carrera,puntaje,vacante,observacion,segunda_opcion
230930,INGENIERÍA GEOLÓGICA,776.375,,,
282561,INGENIERÍA GEOLÓGICA,1125.875,16.0,ALCANZO VACANTE,
242963,INGENIERÍA GEOLÓGICA,666.25,,,
277963,INGENIERÍA GEOLÓGICA,1100.75,,,
287882,INGENIERÍA GEOLÓGICA,948.875,,,
253851,INGENIERÍA GEOLÓGICA,676.125,,,
300679,INGENIERÍA GEOLÓGICA,652.5,,,
254190,INGENIERÍA GEOLÓGICA,898.625,,,
221436,INGENIERÍA GEOLÓGICA,1073.25,,,
298801,INGENIERÍA GEOLÓGICA,1101.875,20.0,ALCANZO VACANTE,
271424,INGENIERÍA GEOLÓGICA,941.375,,,
250409,INGENIERÍA GEOLÓGICA,842.625,,,
252949,INGENIERÍA GEOLÓGICA,894.0,,,
256876,INGENIERÍA GEOLÓGICA,,,AUSENTE,
230031,INGENIERÍA GEOLÓGICA,902.625,,,
301333,INGENIERÍA GEOLÓGICA,783.75,,,
284640,INGENIERÍA GEOLÓGICA,1099.0,,,
285786,INGENIERÍA GEOLÓGICA,798.125,,,
237216,INGENIERÍA GEOLÓGICA,1067.625,,,
226513,INGENIERÍA GEOLÓGICA,691.375,,,
286263,INGENIERÍA GEOLÓGICA,958.0,,,
262290,INGENIERÍA GEOLÓGICA,808.875,,,
260602,INGENIERÍA GEOLÓGICA,674.625,,,
281932,INGENIERÍA GEOLÓGICA,764.375,,,
267350,INGENIERÍA GEOLÓGICA,970.0,,,
308417,INGENIERÍA GEOLÓGICA,741.25,,,
241772,INGENIERÍA GEOLÓGICA,847.625,,,
229056,INGENIERÍA GEOLÓGICA,1018.375,,,
253756,INGENIERÍA GEOLÓGICA,678.25,,,
261897,INGENIERÍA GEOLÓGICA,999.375,,,
237532,INGENIERÍA GEOLÓGICA,1069.875,,,
252327,INGENIERÍA GEOLÓGICA,1008.25,,,
293184,INGENIERÍA GEOLÓGICA,782.625,,,
259514,INGENIERÍA GEOLÓGICA,763.875,,,
277183,INGENIERÍA GEOLÓGICA,791.25,,,
241380,INGENIERÍA GEOLÓGICA,1049.875,,,
259678,INGENIERÍA GEOLÓGICA,873.25,,,
295897,INGENIERÍA GEOLÓGICA,1118.25,17.0,ALCANZO VACANTE,
289147,INGENIERÍA GEOLÓGICA,906.625,,,
269970,INGENIERÍA GEOLÓGICA,942.0,,,
266410,INGENIERÍA GEOLÓGICA,915.125,,,
273994,INGENIERÍA GEOLÓGICA,795.75,,,
245561,INGENIERÍA GEOLÓGICA,594.875,,,
279617,INGENIERÍA GEOLÓGICA,792.75,,,
273762,INGENIERÍA GEOLÓGICA,774.5,,,
293353,INGENIERÍA GEOLÓGICA,847.25,,,
259251,INGENIERÍA GEOLÓGICA,865.375,,,
282350,INGENIERÍA GEOLÓGICA,950.0,,,
264867,INGENIERÍA GEOLÓGICA,828.0,,,
245318,INGENIERÍA GEOLÓGICA,635.75,,,
276705,INGENIERÍA GEOLÓGICA,803.125,,,
223837,INGENIERÍA GEOLÓGICA,960.875,,,
303777,INGENIERÍA GEOLÓGICA,607.25,,,
266490,INGENIERÍA GEOLÓGICA,1170.875,9.0,ALCANZO VACANTE,
296414,INGENIERÍA GEOLÓGICA,766.875,,,
255176,INGENIERÍA GEOLÓGICA,635.0,,,
253286,INGENIERÍA GEOLÓGICA,688.125,,,
283277,INGENIERÍA GEOLÓGICA,513.625,,,
255434,INGENIERÍA GEOLÓGICA,760.125,,,
231660,INGENIERÍA GEOLÓGICA,769.5,,,
280739,INGENIERÍA GEOLÓGICA,846.0,,,
221320,INGENIERÍA GEOLÓGICA,1026.5,,,
276551,INGENIERÍA GEOLÓGICA,717.625,,,
267180,INGENIERÍA GEOLÓGICA,758.0,,,
251884,INGENIERÍA GEOLÓGICA,1160.875,11.0,ALCANZO VACANTE,
221903,INGENIERÍA GEOLÓGICA,816.375,,,
228450,INGENIERÍA GEOLÓGICA,989.375,,,
244210,INGENIERÍA GEOLÓGICA,923.875,,,
223520,INGENIERÍA GEOLÓGICA,704.5,,,
244802,INGENIERÍA GEOLÓGICA,476.875,,,
232774,INGENIERÍA GEOLÓGICA,885.5,,,
291715,INGENIERÍA GEOLÓGICA,581.375,,,
246542,INGENIERÍA GEOLÓGICA,864.875,,,
308995,INGENIERÍA GEOLÓGICA,1004.25,,,
220989,INGENIERÍA GEOLÓGICA,637.125,,,
254451,INGENIERÍA GEOLÓGICA,839.25,,,
284785,INGENIERÍA GEOLÓGICA,721.375,,,
255726,INGENIERÍA GEOLÓGICA,623.25,,,
306766,INGENIERÍA GEOLÓGICA,1018.625,,,
296423,INGENIERÍA GEOLÓGICA,952.25,,,
256479,INGENIERÍA GEOLÓGICA,1268.0,3.0,ALCANZO VACANTE,
294264,INGENIERÍA GEOLÓGICA,717.625,,,
221432,INGENIERÍA GEOLÓGICA,718.75,,,
257479,INGENIERÍA GEOLÓGICA,805.5,,,
229515,INGENIERÍA GEOLÓGICA,915.75,,,
