id,carrera,puntaje,vacante,observacion,segunda_opcion
233781,INGENIERÍA INDUSTRIAL,845.5,,,
294465,INGENIERÍA INDUSTRIAL,751.125,,,
221109,INGENIERÍA INDUSTRIAL,760.375,,,
250864,INGENIERÍA INDUSTRIAL,1162.625,,,
243824,INGENIERÍA INDUSTRIAL,755.25,,,
225672,INGENIERÍA INDUSTRIAL,259.875,,,
229977,INGENIERÍA INDUSTRIAL,942.0,,,
306138,INGENIERÍA INDUSTRIAL,1131.5,,,
284280,INGENIERÍA INDUSTRIAL,936.875,,,
232169,INGENIERÍA INDUSTRIAL,556.25,,,
278498,INGENIERÍA INDUSTRIAL,815.25,,,
239852,INGENIERÍA INDUSTRIAL,613.125,,,
283679,INGENIERÍA INDUSTRIAL,852.375,,,
248291,INGENIERÍA INDUSTRIAL,742.75,,,
269682,INGENIERÍA INDUSTRIAL,546.0,,,
261651,INGENIERÍA INDUSTRIAL,959.625,,,
256279,INGENIERÍA INDUSTRIAL,632.375,,,
249132,INGENIERÍA INDUSTRIAL,1084.75,,,
281368,INGENIERÍA INDUSTRIAL,786.875,,,
270327,INGENIERÍA INDUSTRIAL,559.5,,,
225002,INGENIERÍA INDUSTRIAL,619.25,,,
275147,INGENIERÍA INDUSTRIAL,1089.875,,,
251812,INGENIERÍA INDUSTRIAL,752.625,,,
220572,INGENIERÍA INDUSTRIAL,577.75,,,
262464,INGENIERÍA INDUSTRIAL,992.25,,,
262680,INGENIERÍA INDUSTRIAL,642.625,,,
298334,INGENIERÍA INDUSTRIAL,1206.875,70.0,ALCANZO VACANTE,
304877,INGENIERÍA INDUSTRIAL,1050.5,,,
280870,INGENIERÍA INDUSTRIAL,730.75,,,
267131,INGENIERÍA INDUSTRIAL,950.5,,,
301911,INGENIERÍA INDUSTRIAL,1087.375,,,
280847,INGENIERÍA INDUSTRIAL,604.0,,,
282146,INGENIERÍA INDUSTRIAL,734.25,,,
287951,INGENIERÍA INDUSTRIAL,783.75,,,
263555,INGENIERÍA INDUSTRIAL,902.625,,,
238809,INGENIERÍA INDUSTRIAL,658.25,,,
293666,INGENIERÍA INDUSTRIAL,1088.0,,,
244246,INGENIERÍA INDUSTRIAL,1364.5,11.0,ALCANZO VACANTE,
293152,INGENIERÍA INDUSTRIAL,771.75,,,
232495,INGENIERÍA INDUSTRIAL,1149.25,,,
221274,INGENIERÍA INDUSTRIAL,762.875,,,
262402,INGENIERÍA INDUSTRIAL,953.875,,,
247316,INGENIERÍA INDUSTRIAL,848.25,,,
309308,INGENIERÍA INDUSTRIAL,1066.875,,,
309320,INGENIERÍA INDUSTRIAL,1067.625,,,
291785,INGENIERÍA INDUSTRIAL,602.875,,,
253003,INGENIERÍA INDUSTRIAL,868.375,,,
221875,INGENIERÍA INDUSTRIAL,1032.875,,,
281115,INGENIERÍA INDUSTRIAL,659.25,,,
254279,INGENIERÍA INDUSTRIAL,618.75,,,
241763,INGENIERÍA INDUSTRIAL,809.0,,,
286483,INGENIERÍA INDUSTRIAL,912.125,,,
264213,INGENIERÍA INDUSTRIAL,651.375,,,
223523,INGENIERÍA INDUSTRIAL,962.0,,,
264762,INGENIERÍA INDUSTRIAL,837.5,,,
240637,INGENIERÍA INDUSTRIAL,826.125,,,
251301,INGENIERÍA INDUSTRIAL,919.75,,,
259073,INGENIERÍA INDUSTRIAL,670.25,,,
277688,INGENIERÍA INDUSTRIAL,829.375,,,
300560,INGENIERÍA INDUSTRIAL,666.25,,,
262072,INGENIERÍA INDUSTRIAL,1313.125,21.0,ALCANZO VACANTE,
298766,INGENIERÍA INDUSTRIAL,532.875,,,
269058,INGENIERÍA INDUSTRIAL,757.0,,,
260202,INGENIERÍA INDUSTRIAL,1044.125,,,
292251,INGENIERÍA INDUSTRIAL,863.625,,,
259989,INGENIERÍA INDUSTRIAL,1384.5,7.0,ALCANZO VACANTE,
224002,INGENIERÍA INDUSTRIAL,711.0,,,
225505,INGENIERÍA INDUSTRIAL,658.625,,,
297352,INGENIERÍA INDUSTRIAL,836.375,,,
284031,INGENIERÍA INDUSTRIAL,798.0,,,
261154,INGENIERÍA INDUSTRIAL,1121.125,,,
220789,INGENIERÍA INDUSTRIAL,1123.0,,,
261297,INGENIERÍA INDUSTRIAL,938.0,,,
243278,INGENIERÍA INDUSTRIAL,621.5,,,
276020,INGENIERÍA INDUSTRIAL,556.0,,,
308373,INGENIERÍA INDUSTRIAL,1135.0,,,
241149,INGENIERÍA INDUSTRIAL,790.125,,,
285992,INGENIERÍA INDUSTRIAL,1037.375,,,
236804,INGENIERÍA INDUSTRIAL,1087.5,,,
268714,INGENIERÍA INDUSTRIAL,851.75,,,
246899,INGENIERÍA INDUSTRIAL,665.25,,,
271402,INGENIERÍA INDUSTRIAL,546.25,,,
223293,INGENIERÍA INDUSTRIAL,1100.0,,,
302080,INGENIERÍA INDUSTRIAL,757.0,,,
281325,INGENIERÍA INDUSTRIAL,820.375,,,
246633,INGENIERÍA INDUSTRIAL,722.625,,,
303085,INGENIERÍA INDUSTRIAL,1007.625,,,
236775,INGENIERÍA INDUSTRIAL,381.375,,,
237249,INGENIERÍA INDUSTRIAL,747.875,,,
220253,INGENIERÍA INDUSTRIAL,1046.5,,,
240609,INGENIERÍA INDUSTRIAL,954.0,,,
251323,INGENIERÍA INDUSTRIAL,644.0,,,
266143,INGENIERÍA INDUSTRIAL,619.375,,,
308730,INGENIERÍA INDUSTRIAL,654.875,,,
251725,INGENIERÍA INDUSTRIAL,683.375,,,
294933,INGENIERÍA INDUSTRIAL,952.25,,,
234092,INGENIERÍA INDUSTRIAL,1044.125,,,
300464,INGENIERÍA INDUSTRIAL,1103.0,,,
301199,INGENIERÍA INDUSTRIAL,660.875,,,
275464,INGENIERÍA INDUSTRIAL,928.875,,,
287333,INGENIERÍA INDUSTRIAL,652.75,,,
225392,INGENIERÍA INDUSTRIAL,672.125,,,
235527,INGENIERÍA INDUSTRIAL,706.75,,,
270294,INGENIERÍA INDUSTRIAL,1202.375,73.0,ALCANZO VACANTE,
262259,INGENIERÍA INDUSTRIAL,603.875,,,
257913,INGENIERÍA INDUSTRIAL,1092.75,,,
243885,INGENIERÍA INDUSTRIAL,820.375,,,
235477,INGENIERÍA INDUSTRIAL,929.0,,,
239883,INGENIERÍA INDUSTRIAL,793.0,,,
238640,INGENIERÍA INDUSTRIAL,457.0,,,
295847,INGENIERÍA INDUSTRIAL,1136.125,,,
277246,INGENIERÍA INDUSTRIAL,962.0,,,
307030,INGENIERÍA INDUSTRIAL,1023.5,,,
232382,INGENIERÍA INDUSTRIAL,612.25,,,
225149,INGENIERÍA INDUSTRIAL,1119.5,,,
252305,INGENIERÍA INDUSTRIAL,694.0,,,
268985,INGENIERÍA INDUSTRIAL,535.5,,,
273904,INGENIERÍA INDUSTRIAL,994.125,,,
224073,INGENIERÍA INDUSTRIAL,981.375,,,
282061,INGENIERÍA INDUSTRIAL,582.0,,,
286037,INGENIERÍA INDUSTRIAL,,,AUSENTE,
303464,INGENIERÍA INDUSTRIAL,1077.875,,,
275997,INGENIERÍA INDUSTRIAL,602.25,,,
240587,INGENIERÍA INDUSTRIAL,557.375,,,
220546,INGENIERÍA INDUSTRIAL,740.375,,,
280661,INGENIERÍA INDUSTRIAL,881.5,,,
271839,INGENIERÍA INDUSTRIAL,639.375,,,
252041,INGENIERÍA INDUSTRIAL,1155.875,,,
270820,INGENIERÍA INDUSTRIAL,1221.75,61.0,ALCANZO VACANTE,
225548,INGENIERÍA INDUSTRIAL,1161.25,,,
221882,INGENIERÍA INDUSTRIAL,614.875,,,
298106,INGENIERÍA INDUSTRIAL,1061.875,,,
278933,INGENIERÍA INDUSTRIAL,710.0,,,
274013,INGENIERÍA INDUSTRIAL,973.375,,,
302881,INGENIERÍA INDUSTRIAL,425.75,,,
269895,INGENIERÍA INDUSTRIAL,773.0,,,
309456,INGENIERÍA INDUSTRIAL,827.0,,,
274618,INGENIERÍA INDUSTRIAL,923.75,,,
230381,INGENIERÍA INDUSTRIAL,826.0,,,
266400,INGENIERÍA INDUSTRIAL,704.5,,,
242545,INGENIERÍA INDUSTRIAL,1030.25,,,
286986,INGENIERÍA INDUSTRIAL,1083.375,,,
243389,INGENIERÍA INDUSTRIAL,1065.875,,,
297646,INGENIERÍA INDUSTRIAL,860.375,,,
221062,INGENIERÍA INDUSTRIAL,715.125,,,
300012,INGENIERÍA INDUSTRIAL,978.5,,,
225913,INGENIERÍA INDUSTRIAL,512.625,,,
279009,INGENIERÍA INDUSTRIAL,655.375,,,
242849,INGENIERÍA INDUSTRIAL,946.25,,,
292092,INGENIERÍA INDUSTRIAL,1089.75,,,
287171,INGENIERÍA INDUSTRIAL,759.625,,,
245920,INGENIERÍA INDUSTRIAL,759.75,,,
301232,INGENIERÍA INDUSTRIAL,541.125,,,
259925,INGENIERÍA INDUSTRIAL,703.25,,,
303773,INGENIERÍA INDUSTRIAL,806.125,,,
279760,INGENIERÍA INDUSTRIAL,916.5,,,
228504,INGENIERÍA INDUSTRIAL,597.125,,,
284722,INGENIERÍA INDUSTRIAL,898.625,,,
308339,INGENIERÍA INDUSTRIAL,1273.75,37.0,ALCANZO VACANTE,
259620,INGENIERÍA INDUSTRIAL,692.375,,,
306914,INGENIERÍA INDUSTRIAL,833.875,,,
284253,INGENIERÍA INDUSTRIAL,915.125,,,
291352,INGENIERÍA INDUSTRIAL,1031.0,,,
303129,INGENIERÍA INDUSTRIAL,976.75,,,
303029,INGENIERÍA INDUSTRIAL,996.25,,,
240770,INGENIERÍA INDUSTRIAL,,,AUSENTE,
262309,INGENIERÍA INDUSTRIAL,1328.375,17.0,ALCANZO VACANTE,
247090,INGENIERÍA INDUSTRIAL,937.375,,,
242909,INGENIERÍA INDUSTRIAL,1000.25,,,
288024,INGENIERÍA INDUSTRIAL,825.375,,,
285447,INGENIERÍA INDUSTRIAL,1032.625,,,
307296,INGENIERÍA INDUSTRIAL,987.125,,,
244993,INGENIERÍA INDUSTRIAL,1020.25,,,
272464,INGENIERÍA INDUSTRIAL,642.25,,,
302299,INGENIERÍA INDUSTRIAL,564.0,,,
251184,INGENIERÍA INDUSTRIAL,1289.125,30.0,ALCANZO VACANTE,
287698,INGENIERÍA INDUSTRIAL,456.625,,,
258951,INGENIERÍA INDUSTRIAL,708.5,,,
227927,INGENIERÍA INDUSTRIAL,876.25,,,
230316,INGENIERÍA INDUSTRIAL,1162.125,,,
284176,INGENIERÍA INDUSTRIAL,623.375,,,
252943,INGENIERÍA INDUSTRIAL,770.75,,,
295258,INGENIERÍA INDUSTRIAL,1000.25,,,
276811,INGENIERÍA INDUSTRIAL,441.125,,,
306881,INGENIERÍA INDUSTRIAL,512.25,,,
281890,INGENIERÍA INDUSTRIAL,847.375,,,
292946,INGENIERÍA INDUSTRIAL,861.375,,,
221231,INGENIERÍA INDUSTRIAL,450.125,,,
285999,INGENIERÍA INDUSTRIAL,959.0,,,
277784,INGENIERÍA INDUSTRIAL,764.0,,,
241309,INGENIERÍA INDUSTRIAL,649.25,,,
262756,INGENIERÍA INDUSTRIAL,548.5,,,
308137,INGENIERÍA INDUSTRIAL,1160.125,,,
294669,INGENIERÍA INDUSTRIAL,1089.875,,,
261564,INGENIERÍA INDUSTRIAL,1143.0,,,
223701,INGENIERÍA INDUSTRIAL,781.125,,,
241035,INGENIERÍA INDUSTRIAL,1232.625,54.0,ALCANZO VACANTE,
270564,INGENIERÍA INDUSTRIAL,591.875,,,
230885,INGENIERÍA INDUSTRIAL,638.25,,,
302382,INGENIERÍA INDUSTRIAL,1026.5,,,
238954,INGENIERÍA INDUSTRIAL,995.125,,,
222002,INGENIERÍA INDUSTRIAL,1102.125,,,
227039,INGENIERÍA INDUSTRIAL,959.875,,,
281830,INGENIERÍA INDUSTRIAL,890.625,,,
244075,INGENIERÍA INDUSTRIAL,1253.75,45.0,ALCANZO VACANTE,
293940,INGENIERÍA INDUSTRIAL,1062.875,,,
242066,INGENIERÍA INDUSTRIAL,1141.125,,,
287509,INGENIERÍA INDUSTRIAL,419.375,,,
287302,INGENIERÍA INDUSTRIAL,1131.0,,,
224042,INGENIERÍA INDUSTRIAL,1276.5,36.0,ALCANZO VACANTE,
282842,INGENIERÍA INDUSTRIAL,708.5,,,
274715,INGENIERÍA INDUSTRIAL,616.375,,,
276971,INGENIERÍA INDUSTRIAL,1166.125,,,
244185,INGENIERÍA INDUSTRIAL,631.125,,,
235852,INGENIERÍA INDUSTRIAL,1033.375,,,
247133,INGENIERÍA INDUSTRIAL,794.125,,,
262837,INGENIERÍA INDUSTRIAL,944.875,,,
300744,INGENIERÍA INDUSTRIAL,784.375,,,
264668,INGENIERÍA INDUSTRIAL,872.75,,,
282247,INGENIERÍA INDUSTRIAL,1051.875,,,
295575,INGENIERÍA INDUSTRIAL,600.375,,,
222703,INGENIERÍA INDUSTRIAL,991.5,,,
293430,INGENIERÍA INDUSTRIAL,531.75,,,
302488,INGENIERÍA INDUSTRIAL,664.25,,,
279007,INGENIERÍA INDUSTRIAL,1225.75,57.0,ALCANZO VACANTE,
283912,INGENIERÍA INDUSTRIAL,907.75,,,
242067,INGENIERÍA INDUSTRIAL,966.0,,,
250176,INGENIERÍA INDUSTRIAL,781.0,,,
296210,INGENIERÍA INDUSTRIAL,1117.625,,,
305331,INGENIERÍA INDUSTRIAL,985.125,,,
239557,INGENIERÍA INDUSTRIAL,439.0,,,
258691,INGENIERÍA INDUSTRIAL,748.75,,,
227369,INGENIERÍA INDUSTRIAL,680.875,,,
285926,INGENIERÍA INDUSTRIAL,563.125,,,
249794,INGENIERÍA INDUSTRIAL,885.5,,,
259432,INGENIERÍA INDUSTRIAL,1119.0,,,
225791,INGENIERÍA INDUSTRIAL,573.5,,,
255058,INGENIERÍA INDUSTRIAL,1008.25,,,
266384,INGENIERÍA INDUSTRIAL,865.5,,,
304399,INGENIERÍA INDUSTRIAL,864.375,,,
309299,INGENIERÍA INDUSTRIAL,921.375,,,
273648,INGENIERÍA INDUSTRIAL,868.375,,,
228044,INGENIERÍA INDUSTRIAL,910.625,,,
303546,INGENIERÍA INDUSTRIAL,650.25,,,
267522,INGENIERÍA INDUSTRIAL,902.625,,,
270375,INGENIERÍA INDUSTRIAL,694.375,,,
225781,INGENIERÍA INDUSTRIAL,814.625,,,
242592,INGENIERÍA INDUSTRIAL,702.75,,,
306727,INGENIERÍA INDUSTRIAL,612.0,,,
275459,INGENIERÍA INDUSTRIAL,494.0,,,
297938,INGENIERÍA INDUSTRIAL,758.75,,,
293851,INGENIERÍA INDUSTRIAL,1055.625,,,
258270,INGENIERÍA INDUSTRIAL,775.875,,,
296584,INGENIERÍA INDUSTRIAL,817.75,,,
281695,INGENIERÍA INDUSTRIAL,868.375,,,
277692,INGENIERÍA INDUSTRIAL,812.375,,,
309596,INGENIERÍA INDUSTRIAL,1026.75,,,
231964,INGENIERÍA INDUSTRIAL,1042.5,,,
274606,INGENIERÍA INDUSTRIAL,1071.625,,,
265854,INGENIERÍA INDUSTRIAL,1183.875,,,
262351,INGENIERÍA INDUSTRIAL,910.375,,,
266208,INGENIERÍA INDUSTRIAL,864.375,,,
259030,INGENIERÍA INDUSTRIAL,614.75,,,
236926,INGENIERÍA INDUSTRIAL,699.375,,,
228674,INGENIERÍA INDUSTRIAL,903.75,,,
304838,INGENIERÍA INDUSTRIAL,1063.625,,,
236250,INGENIERÍA INDUSTRIAL,845.5,,,
231958,INGENIERÍA INDUSTRIAL,988.25,,,
231056,INGENIERÍA INDUSTRIAL,1365.625,10.0,ALCANZO VACANTE,
247454,INGENIERÍA INDUSTRIAL,1124.625,,,
221236,INGENIERÍA INDUSTRIAL,1146.25,,,
248100,INGENIERÍA INDUSTRIAL,833.75,,,
293910,INGENIERÍA INDUSTRIAL,650.5,,,
266042,INGENIERÍA INDUSTRIAL,879.625,,,
291465,INGENIERÍA INDUSTRIAL,1071.875,,,
271963,INGENIERÍA INDUSTRIAL,898.625,,,
287519,INGENIERÍA INDUSTRIAL,932.25,,,
258568,INGENIERÍA INDUSTRIAL,989.125,,,
289672,INGENIERÍA INDUSTRIAL,849.875,,,
305753,INGENIERÍA INDUSTRIAL,1113.875,,,
305425,INGENIERÍA INDUSTRIAL,1067.625,,,
243495,INGENIERÍA INDUSTRIAL,1048.875,,,
226822,INGENIERÍA INDUSTRIAL,1008.625,,,
246398,INGENIERÍA INDUSTRIAL,608.0,,,
258820,INGENIERÍA INDUSTRIAL,790.125,,,
242629,INGENIERÍA INDUSTRIAL,667.375,,,
291612,INGENIERÍA INDUSTRIAL,920.875,,,
241673,INGENIERÍA INDUSTRIAL,462.375,,,
235383,INGENIERÍA INDUSTRIAL,969.375,,,
291804,INGENIERÍA INDUSTRIAL,1091.5,,,
281297,INGENIERÍA INDUSTRIAL,806.125,,,
272642,INGENIERÍA INDUSTRIAL,953.0,,,
258417,INGENIERÍA INDUSTRIAL,703.0,,,
268721,INGENIERÍA INDUSTRIAL,1156.0,,,
228881,INGENIERÍA INDUSTRIAL,1092.75,,,
228442,INGENIERÍA INDUSTRIAL,821.875,,,
228702,INGENIERÍA INDUSTRIAL,906.75,,,
289783,INGENIERÍA INDUSTRIAL,691.625,,,
229024,INGENIERÍA INDUSTRIAL,425.625,,,
224972,INGENIERÍA INDUSTRIAL,557.875,,,
296048,INGENIERÍA INDUSTRIAL,1029.375,,,
286584,INGENIERÍA INDUSTRIAL,538.25,,,
234429,INGENIERÍA INDUSTRIAL,572.375,,,
234920,INGENIERÍA INDUSTRIAL,1095.0,,,
271065,INGENIERÍA INDUSTRIAL,1006.5,,,
244585,INGENIERÍA INDUSTRIAL,975.625,,,
269626,INGENIERÍA INDUSTRIAL,566.625,,,
223030,INGENIERÍA INDUSTRIAL,937.75,,,
245567,INGENIERÍA INDUSTRIAL,796.375,,,
245858,INGENIERÍA INDUSTRIAL,791.875,,,
281292,INGENIERÍA INDUSTRIAL,355.0,,,
222405,INGENIERÍA INDUSTRIAL,,,AUSENTE,
308781,INGENIERÍA INDUSTRIAL,530.75,,,
255746,INGENIERÍA INDUSTRIAL,1193.5,,,
269918,INGENIERÍA INDUSTRIAL,525.5,,,
300380,INGENIERÍA INDUSTRIAL,801.0,,,
260968,INGENIERÍA INDUSTRIAL,1269.125,38.0,ALCANZO VACANTE,
285805,INGENIERÍA INDUSTRIAL,948.875,,,
268343,INGENIERÍA INDUSTRIAL,1033.375,,,
243085,INGENIERÍA INDUSTRIAL,666.25,,,
282704,INGENIERÍA INDUSTRIAL,957.375,,,
289641,INGENIERÍA INDUSTRIAL,928.625,,,
262275,INGENIERÍA INDUSTRIAL,780.75,,,
231429,INGENIERÍA INDUSTRIAL,877.5,,,
303296,INGENIERÍA INDUSTRIAL,593.625,,,
242339,INGENIERÍA INDUSTRIAL,943.125,,,
226945,INGENIERÍA INDUSTRIAL,594.25,,,
226112,INGENIERÍA INDUSTRIAL,1038.5,,,
224643,INGENIERÍA INDUSTRIAL,751.875,,,
276281,INGENIERÍA INDUSTRIAL,1308.0,25.0,ALCANZO VACANTE,
235843,INGENIERÍA INDUSTRIAL,1098.375,,,
285820,INGENIERÍA INDUSTRIAL,1240.625,51.0,ALCANZO VACANTE,
275143,INGENIERÍA INDUSTRIAL,946.0,,,
303687,INGENIERÍA INDUSTRIAL,682.5,,,
245014,INGENIERÍA INDUSTRIAL,728.625,,,
253000,INGENIERÍA INDUSTRIAL,921.875,,,
246785,INGENIERÍA INDUSTRIAL,818.25,,,
273732,INGENIERÍA INDUSTRIAL,552.625,,,
269660,INGENIERÍA INDUSTRIAL,672.125,,,
284979,INGENIERÍA INDUSTRIAL,636.75,,,
286693,INGENIERÍA INDUSTRIAL,814.125,,,
267239,INGENIERÍA INDUSTRIAL,898.625,,,
244472,INGENIERÍA INDUSTRIAL,655.25,,,
230154,INGENIERÍA INDUSTRIAL,661.0,,,
277499,INGENIERÍA INDUSTRIAL,444.125,,,
255572,INGENIERÍA INDUSTRIAL,700.5,,,
261943,INGENIERÍA INDUSTRIAL,721.75,,,
242274,INGENIERÍA INDUSTRIAL,692.875,,,
