id,carrera,puntaje,vacante,observacion,segunda_opcion
242406,INGENIERÍA QUÍMICA,747.0,,,
256308,INGENIERÍA QUÍMICA,913.875,,,
284183,INGENIERÍA QUÍMICA,1334.125,8.0,ALCANZO VACANTE,
235574,INGENIERÍA QUÍMICA,855.125,,,
277083,INGENIERÍA QUÍMICA,629.5,,,
268910,INGENIERÍA QUÍMICA,699.75,,,
306713,INGENIERÍA QUÍMICA,931.75,,,
266593,INGENIERÍA QUÍMICA,595.25,,,
239299,INGENIERÍA QUÍMICA,979.0,,,
223283,INGENIERÍA QUÍMICA,,,AUSENTE,
290298,INGENIERÍA QUÍMICA,1453.0,1.0,ALCANZO VACANTE,
266709,INGENIERÍA QUÍMICA,929.25,,,
228688,INGENIERÍA QUÍMICA,843.25,,,
284400,INGENIERÍA QUÍMICA,746.75,,,
283061,INGENIERÍA QUÍMICA,835.25,,,
236709,INGENIERÍA QUÍMICA,629.625,,,
250250,INGENIERÍA QUÍMICA,659.75,,,
245363,INGENIERÍA QUÍMICA,562.0,,,
273376,INGENIERÍA QUÍMICA,980.625,,,
304113,INGENIERÍA QUÍMICA,1005.25,,,
303108,INGENIERÍA QUÍMICA,371.5,,,
252025,INGENIERÍA QUÍMICA,1355.25,4.0,ALCANZO VACANTE,
243445,INGENIERÍA QUÍMICA,872.375,,,
240169,INGENIERÍA QUÍMICA,800.875,,,
299062,INGENIERÍA QUÍMICA,810.125,,,
233273,INGENIERÍA QUÍMICA,958.0,,,
276803,INGENIERÍA QUÍMICA,841.875,,,
234654,INGENIERÍA QUÍMICA,847.25,,,
305808,INGENIERÍA QUÍMICA,610.25,,,
253554,INGENIERÍA QUÍMICA,987.125,,,
251601,INGENIERÍA QUÍMICA,863.75,,,
290412,INGENIERÍA QUÍMICA,735.25,,,
277565,INGENIERÍA QUÍMICA,661.125,,,
273253,INGENIERÍA QUÍMICA,524.25,,,
229371,INGENIERÍA QUÍMICA,1068.875,38.0,ALCANZO VACANTE,
285023,INGENIERÍA QUÍMICA,1187.5,20.0,ALCANZO VACANTE,
221498,INGENIERÍA QUÍMICA,819.25,,,
230384,INGENIERÍA QUÍMICA,1144.125,26.0,ALCANZO VACANTE,
233765,INGENIERÍA QUÍMICA,773.875,,,
285861,INGENIERÍA QUÍMICA,678.25,,,
288016,INGENIERÍA QUÍMICA,788.875,,,
278852,INGENIERÍA QUÍMICA,1128.625,29.0,ALCANZO VACANTE,
231854,INGENIERÍA QUÍMICA,871.625,,,
265420,INGENIERÍA QUÍMICA,710.75,,,
290914,INGENIERÍA QUÍMICA,719.625,,,
232507,INGENIERÍA QUÍMICA,830.75,,,
264280,INGENIERÍA QUÍMICA,689.125,,,
272359,INGENIERÍA QUÍMICA,790.0,,,
237126,INGENIERÍA QUÍMICA,889.875,,,
268261,INGENIERÍA QUÍMICA,1107.0,30.0,ALCANZO VACANTE,
257305,INGENIERÍA QUÍMICA,976.0,,,
248154,INGENIERÍA QUÍMICA,792.875,,,
302624,INGENIERÍA QUÍMICA,782.125,,,
272677,INGENIERÍA QUÍMICA,889.25,,,
289898,INGENIERÍA QUÍMICA,1090.125,35.0,ALCANZO VACANTE,
225316,INGENIERÍA QUÍMICA,630.75,,,
268221,INGENIERÍA QUÍMICA,492.125,,,
