id,carrera,puntaje,vacante,observacion,segunda_opcion
212805,INVESTIGACIÓN OPERATIVA,805.0,18.0,ALCANZO VACANTE,
215323,INVESTIGACIÓN OPERATIVA,634.25,,,
213289,INVESTIGACIÓN OPERATIVA,967.0,6.0,ALCANZO VACANTE,
210292,INVESTIGACIÓN OPERATIVA,552.375,,,
215341,INVESTIGACIÓN OPERATIVA,1145.25,2.0,ALCANZO VACANTE,
215206,INVESTIGACIÓN OPERATIVA,462.875,,,
213294,INVESTIGACIÓN OPERATIVA,703.25,,,
216644,INVESTIGACIÓN OPERATIVA,872.375,11.0,ALCANZO VACANTE,
215750,INVESTIGACIÓN OPERATIVA,609.0,,,
210823,INVESTIGACIÓN OPERATIVA,767.25,22.0,ALCANZO VACANTE,
213541,INVESTIGACIÓN OPERATIVA,919.625,10.0,ALCANZO VACANTE,
211716,INVESTIGACIÓN OPERATIVA,966.0,7.0,ALCANZO VACANTE,
217784,INVESTIGACIÓN OPERATIVA,582.25,,,
219018,INVESTIGACIÓN OPERATIVA,773.0,21.0,ALCANZO VACANTE,
211354,INVESTIGACIÓN OPERATIVA,870.625,12.0,ALCANZO VACANTE,
217677,INVESTIGACIÓN OPERATIVA,735.625,25.0,ALCANZO VACANTE,
212219,INVESTIGACIÓN OPERATIVA,549.0,,,
213265,INVESTIGACIÓN OPERATIVA,867.125,13.0,ALCANZO VACANTE,
215146,INVESTIGACIÓN OPERATIVA,1020.625,5.0,ALCANZO VACANTE,
219887,INVESTIGACIÓN OPERATIVA,920.625,9.0,ALCANZO VACANTE,
218282,INVESTIGACIÓN OPERATIVA,532.5,,,
211921,INVESTIGACIÓN OPERATIVA,1063.625,4.0,ALCANZO VACANTE,
213350,INVESTIGACIÓN OPERATIVA,753.0,24.0,ALCANZO VACANTE,
219902,INVESTIGACIÓN OPERATIVA,464.5,,,
218310,INVESTIGACIÓN OPERATIVA,841.5,15.0,ALCANZO VACANTE,
214927,INVESTIGACIÓN OPERATIVA,1101.25,3.0,ALCANZO VACANTE,
219771,INVESTIGACIÓN OPERATIVA,939.75,8.0,ALCANZO VACANTE,
216016,INVESTIGACIÓN OPERATIVA,696.5,,,
219035,INVESTIGACIÓN OPERATIVA,715.5,30.0,ALCANZO VACANTE,
215723,INVESTIGACIÓN OPERATIVA,726.75,28.0,ALCANZO VACANTE,
218505,INVESTIGACIÓN OPERATIVA,581.5,,,
217612,INVESTIGACIÓN OPERATIVA,420.5,,,
218119,INVESTIGACIÓN OPERATIVA,684.375,,,
215504,INVESTIGACIÓN OPERATIVA,552.5,,,
217751,INVESTIGACIÓN OPERATIVA,710.75,,,
212424,INVESTIGACIÓN OPERATIVA,1176.0,1.0,ALCANZO VACANTE,
212843,INVESTIGACIÓN OPERATIVA,599.375,,,
211689,INVESTIGACIÓN OPERATIVA,830.125,17.0,ALCANZO VACANTE,
213322,INVESTIGACIÓN OPERATIVA,759.875,23.0,ALCANZO VACANTE,
219017,INVESTIGACIÓN OPERATIVA,,,AUSENTE,
217118,INVESTIGACIÓN OPERATIVA,567.0,,,
216472,INVESTIGACIÓN OPERATIVA,720.875,29.0,ALCANZO VACANTE,
215090,INVESTIGACIÓN OPERATIVA,730.125,27.0,ALCANZO VACANTE,
210553,INVESTIGACIÓN OPERATIVA,852.375,14.0,ALCANZO VACANTE,
216672,INVESTIGACIÓN OPERATIVA,778.25,20.0,ALCANZO VACANTE,
212796,INVESTIGACIÓN OPERATIVA,832.75,16.0,ALCANZO VACANTE,
218989,INVESTIGACIÓN OPERATIVA,629.125,,,
218971,INVESTIGACIÓN OPERATIVA,656.0,,,
215974,INVESTIGACIÓN OPERATIVA,558.375,,,
212681,INVESTIGACIÓN OPERATIVA,786.625,19.0,ALCANZO VACANTE,
217370,INVESTIGACIÓN OPERATIVA,657.0,,,
212926,INVESTIGACIÓN OPERATIVA,628.625,,,
210125,INVESTIGACIÓN OPERATIVA,733.625,26.0,ALCANZO VACANTE,
212484,INVESTIGACIÓN OPERATIVA,439.75,,,
