id,carrera,puntaje,vacante,observacion,segunda_opcion
219456,MICROBIOLOGÍA Y PARASITOLOGÍA,704.875,,,
216588,MICROBIOLOGÍA Y PARASITOLOGÍA,712.5,,,
217105,MICROBIOLOGÍA Y PARASITOLOGÍA,508.75,,,
216854,MICROBIOLOGÍA Y PARASITOLOGÍA,917.75,13.0,ALCANZO VACANTE,
214690,MICROBIOLOGÍA Y PARASITOLOGÍA,697.0,,,
212364,MICROBIOLOGÍA Y PARASITOLOGÍA,778.0,,,
213982,MICROBIOLOGÍA Y PARASITOLOGÍA,645.625,,,
214198,MICROBIOLOGÍA Y PARASITOLOGÍA,878.125,17.0,ALCANZO VACANTE,
212438,MICROBIOLOGÍA Y PARASITOLOGÍA,740.875,,,
211260,MICROBIOLOGÍA Y PARASITOLOGÍA,714.75,,,
214340,MICROBIOLOGÍA Y PARASITOLOGÍA,515.0,,,
210646,MICROBIOLOGÍA Y PARASITOLOGÍA,545.75,,,
219440,MICROBIOLOGÍA Y PARASITOLOGÍA,833.25,,,
219813,MICROBIOLOGÍA Y PARASITOLOGÍA,720.5,,,
218678,MICROBIOLOGÍA Y PARASITOLOGÍA,889.25,15.0,ALCANZO VACANTE,
211423,MICROBIOLOGÍA Y PARASITOLOGÍA,733.25,,,
210567,MICROBIOLOGÍA Y PARASITOLOGÍA,750.75,,,
215104,MICROBIOLOGÍA Y PARASITOLOGÍA,869.375,19.0,ALCANZO VACANTE,
217119,MICROBIOLOGÍA Y PARASITOLOGÍA,708.5,,,
212889,MICROBIOLOGÍA Y PARASITOLOGÍA,802.125,,,
214285,MICROBIOLOGÍA Y PARASITOLOGÍA,816.375,,,
214369,MICROBIOLOGÍA Y PARASITOLOGÍA,630.25,,,
213778,MICROBIOLOGÍA Y PARASITOLOGÍA,883.375,16.0,ALCANZO VACANTE,
212347,MICROBIOLOGÍA Y PARASITOLOGÍA,761.0,,,
216575,MICROBIOLOGÍA Y PARASITOLOGÍA,937.5,11.0,ALCANZO VACANTE,
213174,MICROBIOLOGÍA Y PARASITOLOGÍA,860.375,21.0,ALCANZO VACANTE,
214490,MICROBIOLOGÍA Y PARASITOLOGÍA,685.5,,,
215779,MICROBIOLOGÍA Y PARASITOLOGÍA,815.25,,,
213219,MICROBIOLOGÍA Y PARASITOLOGÍA,839.25,,,
211763,MICROBIOLOGÍA Y PARASITOLOGÍA,655.875,,,
216988,MICROBIOLOGÍA Y PARASITOLOGÍA,694.5,,,
218812,MICROBIOLOGÍA Y PARASITOLOGÍA,482.25,,,
212982,MICROBIOLOGÍA Y PARASITOLOGÍA,762.5,,,
213140,MICROBIOLOGÍA Y PARASITOLOGÍA,867.75,20.0,ALCANZO VACANTE,
210448,MICROBIOLOGÍA Y PARASITOLOGÍA,980.0,9.0,ALCANZO VACANTE,
218533,MICROBIOLOGÍA Y PARASITOLOGÍA,1101.25,4.0,ALCANZO VACANTE,
219832,MICROBIOLOGÍA Y PARASITOLOGÍA,856.375,22.0,ALCANZO VACANTE,
210815,MICROBIOLOGÍA Y PARASITOLOGÍA,807.25,,,
216193,MICROBIOLOGÍA Y PARASITOLOGÍA,602.125,,,
216323,MICROBIOLOGÍA Y PARASITOLOGÍA,1246.875,1.0,ALCANZO VACANTE,
216514,MICROBIOLOGÍA Y PARASITOLOGÍA,991.125,7.0,ALCANZO VACANTE,
215617,MICROBIOLOGÍA Y PARASITOLOGÍA,691.375,,,
214159,MICROBIOLOGÍA Y PARASITOLOGÍA,1091.25,5.0,ALCANZO VACANTE,
219445,MICROBIOLOGÍA Y PARASITOLOGÍA,792.625,,,
218440,MICROBIOLOGÍA Y PARASITOLOGÍA,803.75,,,
217147,MICROBIOLOGÍA Y PARASITOLOGÍA,805.5,,,
211313,MICROBIOLOGÍA Y PARASITOLOGÍA,871.375,18.0,ALCANZO VACANTE,
210898,MICROBIOLOGÍA Y PARASITOLOGÍA,614.375,,,
219840,MICROBIOLOGÍA Y PARASITOLOGÍA,1224.625,2.0,ALCANZO VACANTE,
210409,MICROBIOLOGÍA Y PARASITOLOGÍA,991.125,8.0,ALCANZO VACANTE,
214713,MICROBIOLOGÍA Y PARASITOLOGÍA,930.5,12.0,ALCANZO VACANTE,
213545,MICROBIOLOGÍA Y PARASITOLOGÍA,852.375,23.0,ALCANZO VACANTE,
217156,MICROBIOLOGÍA Y PARASITOLOGÍA,694.125,,,
216900,MICROBIOLOGÍA Y PARASITOLOGÍA,640.375,,,
218990,MICROBIOLOGÍA Y PARASITOLOGÍA,836.375,,,
211642,MICROBIOLOGÍA Y PARASITOLOGÍA,594.875,,,
210280,MICROBIOLOGÍA Y PARASITOLOGÍA,457.5,,,
212191,MICROBIOLOGÍA Y PARASITOLOGÍA,831.25,,,
211926,MICROBIOLOGÍA Y PARASITOLOGÍA,,,AUSENTE,
215853,MICROBIOLOGÍA Y PARASITOLOGÍA,391.75,,,
215328,MICROBIOLOGÍA Y PARASITOLOGÍA,963.625,10.0,ALCANZO VACANTE,
216486,MICROBIOLOGÍA Y PARASITOLOGÍA,1160.125,3.0,ALCANZO VACANTE,
212163,MICROBIOLOGÍA Y PARASITOLOGÍA,1041.125,6.0,ALCANZO VACANTE,
214885,MICROBIOLOGÍA Y PARASITOLOGÍA,893.5,14.0,ALCANZO VACANTE,
219105,MICROBIOLOGÍA Y PARASITOLOGÍA,746.125,,,
217398,MICROBIOLOGÍA Y PARASITOLOGÍA,676.25,,,
214913,MICROBIOLOGÍA Y PARASITOLOGÍA,779.875,,,
