id,carrera,puntaje,vacante,observacion,segunda_opcion
569594,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1047.0,20.0,ALCANZO VACANTE,
585465,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1071.625,15.0,ALCANZO VACANTE,
550801,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,937.75,,,
586793,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1014.5,28.0,ALCANZO VACANTE,
553923,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,868.375,,,
589089,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,759.875,,,
581503,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,601.125,,,
589668,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,833.5,,,
552685,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,578.125,,,
567297,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,744.875,,,
584689,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,718.75,,,
565149,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1123.25,8.0,ALCANZO VACANTE,
592385,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1205.0,4.0,ALCANZO VACANTE,
579500,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,819.0,,,
551145,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,894.625,,,
580779,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,906.625,,,
588938,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,855.25,,,
571882,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,860.25,,,
578594,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,768.875,,,
557573,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1235.75,3.0,ALCANZO VACANTE,
577987,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1346.25,1.0,ALCANZO VACANTE,
560059,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,747.875,,,
561519,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,950.5,,,
593892,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,513.25,,,
587612,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,589.75,,,
577820,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,831.75,,,
558990,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,845.5,,,
591524,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,843.25,,,
582640,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,731.625,,,
576806,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,380.125,,,
571663,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,711.125,,,
576226,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1056.125,18.0,ALCANZO VACANTE,
551219,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1076.625,14.0,ALCANZO VACANTE,
553479,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1050.5,19.0,ALCANZO VACANTE,
593863,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,907.75,,,
579987,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,910.5,,,
563970,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1088.75,11.0,ALCANZO VACANTE,
575711,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1009.25,31.0,ALCANZO VACANTE,
571359,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,416.375,,,
553237,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,565.75,,,
554557,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,955.875,,,
588532,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1121.875,9.0,ALCANZO VACANTE,
583385,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,708.5,,,
572274,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1145.0,7.0,ALCANZO VACANTE,
584772,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,892.25,,,
585632,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,858.75,,,
552749,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,511.5,,,
581945,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,777.0,,,
555099,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,818.5,,,
573388,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,880.75,,,
588871,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,876.875,,,
574016,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,912.5,,,
581839,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,712.125,,,
583671,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1017.75,26.0,ALCANZO VACANTE,
587988,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,658.25,,,
555000,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1183.5,6.0,ALCANZO VACANTE,
581019,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,767.25,,,
579690,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,843.25,,,
585654,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,890.5,,,
570699,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,908.875,,,
571409,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,596.5,,,
552680,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1014.75,27.0,ALCANZO VACANTE,
557283,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1042.375,21.0,ALCANZO VACANTE,
593612,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1037.375,22.0,ALCANZO VACANTE,
559291,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1013.375,30.0,ALCANZO VACANTE,
574567,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,564.0,,,
573220,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,939.0,,,
575089,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,586.875,,,
554585,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,659.375,,,
