id,carrera,puntaje,vacante,observacion,segunda_opcion
178381,PSICOLOGÍA - CHILCA,508.0,,,
195415,PSICOLOGÍA - CHILCA,655.375,,,
118140,PSICOLOGÍA - CHILCA,577.25,,,
122671,PSICOLOGÍA - CHILCA,635.125,,,
150071,PSICOLOGÍA - CHILCA,928.625,1.0,ALCANZO VACANTE,
158350,PSICOLOGÍA - CHILCA,381.25,,,
142206,PSICOLOGÍA - CHILCA,506.375,,,
161246,PSICOLOGÍA - CHILCA,794.125,9.0,ALCANZO VACANTE,
147441,PSICOLOGÍA - CHILCA,883.125,4.0,ALCANZO VACANTE,
113014,PSICOLOGÍA - CHILCA,576.5,,,
104863,PSICOLOGÍA - CHILCA,468.125,,,
155488,PSICOLOGÍA - CHILCA,540.625,,,
153768,PSICOLOGÍA - CHILCA,818.125,5.0,ALCANZO VACANTE,
116031,PSICOLOGÍA - CHILCA,439.625,,,
126306,PSICOLOGÍA - CHILCA,888.25,3.0,ALCANZO VACANTE,
155037,PSICOLOGÍA - CHILCA,638.25,,,
132025,PSICOLOGÍA - CHILCA,888.75,2.0,ALCANZO VACANTE,
178039,PSICOLOGÍA - CHILCA,808.0,6.0,ALCANZO VACANTE,
143255,PSICOLOGÍA - CHILCA,562.125,,,
153086,PSICOLOGÍA - CHILCA,765.0,10.0,ALCANZO VACANTE,
166416,PSICOLOGÍA - CHILCA,699.875,12.0,ALCANZO VACANTE,
128442,PSICOLOGÍA - CHILCA,797.0,8.0,ALCANZO VACANTE,
187217,PSICOLOGÍA - CHILCA,558.0,,,
173260,PSICOLOGÍA - CHILCA,577.0,,,
192796,PSICOLOGÍA - CHILCA,798.125,7.0,ALCANZO VACANTE,
178901,PSICOLOGÍA - CHILCA,549.0,,,
175002,PSICOLOGÍA - CHILCA,613.375,,,
174589,PSICOLOGÍA - CHILCA,562.5,,,
137226,PSICOLOGÍA - CHILCA,572.0,,,
136128,PSICOLOGÍA - CHILCA,503.5,,,
140539,PSICOLOGÍA - CHILCA,662.25,,,
176518,PSICOLOGÍA - CHILCA,744.5,11.0,ALCANZO VACANTE,
177927,PSICOLOGÍA - CHILCA,688.375,13.0,ALCANZO VACANTE,
