id,carrera,puntaje,vacante,observacion,segunda_opcion
214145,QUÍMICA,406.125,,,
215844,QUÍMICA,911.0,8.0,ALCANZO VACANTE,
219268,QUÍMICA,833.5,14.0,ALCANZO VACANTE,
219111,QUÍMICA,696.875,,,
218859,QUÍMICA,640.875,,,
219464,QUÍMICA,750.75,23.0,ALCANZO VACANTE,
213815,QUÍMICA,770.5,20.0,ALCANZO VACANTE,
214443,QUÍMICA,671.375,,,
218301,QUÍMICA,839.25,13.0,ALCANZO VACANTE,
218329,QUÍMICA,645.75,,,
211070,QUÍMICA,966.0,6.0,ALCANZO VACANTE,
213042,QUÍMICA,741.875,24.0,ALCANZO VACANTE,
215765,QUÍMICA,1103.625,1.0,ALCANZO VACANTE,
211271,QUÍMICA,708.5,,,
214662,QUÍMICA,1038.0,4.0,ALCANZO VACANTE,
211526,QUÍMICA,900.875,10.0,ALCANZO VACANTE,
217240,QUÍMICA,974.625,5.0,ALCANZO VACANTE,
216258,QUÍMICA,1041.375,3.0,ALCANZO VACANTE,
215388,QUÍMICA,511.75,,,
214424,QUÍMICA,606.875,,,
216249,QUÍMICA,817.375,16.0,ALCANZO VACANTE,
211614,QUÍMICA,729.625,26.0,ALCANZO VACANTE,
213335,QUÍMICA,452.625,,,
218445,QUÍMICA,509.125,,,
214881,QUÍMICA,894.625,11.0,ALCANZO VACANTE,
213955,QUÍMICA,573.75,,,
214947,QUÍMICA,573.125,,,
215499,QUÍMICA,767.875,21.0,ALCANZO VACANTE,
213159,QUÍMICA,,,AUSENTE,
214494,QUÍMICA,636.0,,,
211247,QUÍMICA,810.0,17.0,ALCANZO VACANTE,
217691,QUÍMICA,506.375,,,
219371,QUÍMICA,952.625,7.0,ALCANZO VACANTE,
217770,QUÍMICA,297.5,,,
217942,QUÍMICA,1060.75,2.0,ALCANZO VACANTE,
217575,QUÍMICA,865.875,12.0,ALCANZO VACANTE,
216616,QUÍMICA,703.875,,,
218900,QUÍMICA,779.875,19.0,ALCANZO VACANTE,
214266,QUÍMICA,608.0,,,
211703,QUÍMICA,909.375,9.0,ALCANZO VACANTE,
215155,QUÍMICA,660.5,,,
211949,QUÍMICA,716.75,28.0,ALCANZO VACANTE,
212820,QUÍMICA,739.875,25.0,ALCANZO VACANTE,
213145,QUÍMICA,720.5,27.0,ALCANZO VACANTE,
215294,QUÍMICA,754.75,22.0,ALCANZO VACANTE,
216574,QUÍMICA,823.25,15.0,ALCANZO VACANTE,
218207,QUÍMICA,653.125,,,
212628,QUÍMICA,786.5,18.0,ALCANZO VACANTE,
