id,carrera,puntaje,vacante,observacion,segunda_opcion
812261,SOCIOLOGÍA,972.25,,,
718702,SOCIOLOGÍA,889.75,,,
725371,SOCIOLOGÍA,931.125,,,
774584,SOCIOLOGÍA,969.875,,,
781862,SOCIOLOGÍA,717.5,,,
762278,SOCIOLOGÍA,1120.125,16.0,ALCANZO VACANTE,
838125,SOCIOLOGÍA,729.0,,,
770322,SOCIOLOGÍA,803.0,,,
775862,SOCIOLOGÍA,859.375,,,
789641,SOCIOLOGÍA,1362.25,3.0,ALCANZO VACANTE,
749553,SOCIOLOGÍA,851.5,,,
696717,SOCIOLOGÍA,810.125,,,
818360,SOCIOLOGÍA,745.625,,,
838684,SOCIOLOGÍA,745.0,,,
749705,SOCIOLOGÍA,1157.125,13.0,ALCANZO VACANTE,
726217,SOCIOLOGÍA,895.625,,,
763019,SOCIOLOGÍA,868.375,,,
738736,SOCIOLOGÍA,919.5,,,
793910,SOCIOLOGÍA,781.625,,,
820039,SOCIOLOGÍA,1058.5,,,
730385,SOCIOLOGÍA,798.625,,,
741454,SOCIOLOGÍA,789.0,,,
721694,SOCIOLOGÍA,1131.0,15.0,ALCANZO VACANTE,
736711,SOCIOLOGÍA,921.125,,,
805576,SOCIOLOGÍA,1073.875,21.0,ALCANZO VACANTE,
773561,SOCIOLOGÍA,816.375,,,
699744,SOCIOLOGÍA,956.0,,,
727313,SOCIOLOGÍA,585.5,,,
806883,SOCIOLOGÍA,877.375,,,
729214,SOCIOLOGÍA,1079.0,19.0,ALCANZO VACANTE,
725121,SOCIOLOGÍA,651.75,,,
824511,SOCIOLOGÍA,905.25,,,
843020,SOCIOLOGÍA,451.625,,,
765019,SOCIOLOGÍA,747.75,,,
717031,SOCIOLOGÍA,816.375,,,
793359,SOCIOLOGÍA,1062.5,22.0,ALCANZO VACANTE,
783363,SOCIOLOGÍA,824.375,,,
741328,SOCIOLOGÍA,611.375,,,
803912,SOCIOLOGÍA,581.125,,,
819735,SOCIOLOGÍA,1248.625,8.0,ALCANZO VACANTE,
722787,SOCIOLOGÍA,275.5,,,
745402,SOCIOLOGÍA,842.0,,,
742890,SOCIOLOGÍA,697.0,,,
840951,SOCIOLOGÍA,1384.5,2.0,ALCANZO VACANTE,
734017,SOCIOLOGÍA,1145.125,14.0,ALCANZO VACANTE,
755801,SOCIOLOGÍA,730.0,,,
754178,SOCIOLOGÍA,959.625,,,
739437,SOCIOLOGÍA,898.5,,,
773308,SOCIOLOGÍA,809.375,,,
809255,SOCIOLOGÍA,1049.75,,,
719780,SOCIOLOGÍA,1265.75,7.0,ALCANZO VACANTE,
835276,SOCIOLOGÍA,805.0,,,
822733,SOCIOLOGÍA,1084.75,18.0,ALCANZO VACANTE,
753292,SOCIOLOGÍA,757.125,,,
735583,SOCIOLOGÍA,759.0,,,
722048,SOCIOLOGÍA,1050.5,,,
747178,SOCIOLOGÍA,975.75,,,
821971,SOCIOLOGÍA,825.625,,,
742808,SOCIOLOGÍA,695.25,,,
769653,SOCIOLOGÍA,944.875,,,
712758,SOCIOLOGÍA,828.25,,,
796933,SOCIOLOGÍA,750.75,,,
757651,SOCIOLOGÍA,934.5,,,
803680,SOCIOLOGÍA,839.75,,,
722777,SOCIOLOGÍA,792.875,,,
721341,SOCIOLOGÍA,1012.125,,,
718284,SOCIOLOGÍA,816.375,,,
794318,SOCIOLOGÍA,939.75,,,
710209,SOCIOLOGÍA,1409.625,1.0,ALCANZO VACANTE,
836998,SOCIOLOGÍA,754.75,,,
777754,SOCIOLOGÍA,991.0,,,
795448,SOCIOLOGÍA,699.875,,,
765154,SOCIOLOGÍA,1189.625,10.0,ALCANZO VACANTE,
794986,SOCIOLOGÍA,746.75,,,
816593,SOCIOLOGÍA,1077.25,20.0,ALCANZO VACANTE,
716004,SOCIOLOGÍA,749.625,,,
715529,SOCIOLOGÍA,939.375,,,
794819,SOCIOLOGÍA,1096.75,17.0,ALCANZO VACANTE,
773381,SOCIOLOGÍA,863.0,,,
841718,SOCIOLOGÍA,935.125,,,
766303,SOCIOLOGÍA,754.75,,,
753399,SOCIOLOGÍA,1032.125,,,
743405,SOCIOLOGÍA,606.25,,,
746017,SOCIOLOGÍA,741.375,,,
841646,SOCIOLOGÍA,1170.5,11.0,ALCANZO VACANTE,
719858,SOCIOLOGÍA,1224.625,9.0,ALCANZO VACANTE,
721941,SOCIOLOGÍA,1310.5,4.0,ALCANZO VACANTE,
762296,SOCIOLOGÍA,1275.125,5.0,ALCANZO VACANTE,
768012,SOCIOLOGÍA,991.125,,,
733354,SOCIOLOGÍA,738.375,,,
819490,SOCIOLOGÍA,1168.5,12.0,ALCANZO VACANTE,
779214,SOCIOLOGÍA,1273.75,6.0,ALCANZO VACANTE,
758626,SOCIOLOGÍA,938.5,,,
712300,SOCIOLOGÍA,498.375,,,
