id,carrera,puntaje,vacante,observacion,segunda_opcion
117831,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,1180.625,14.0,ALCANZO VACANTE,
156574,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,851.25,,,
121507,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,630.625,,,
162852,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,748.625,,,
184125,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,716.875,,,
126397,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,786.5,,,
166990,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,1143.0,,,
118591,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,777.0,,,
158312,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,741.375,,,
171277,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,640.0,,,
133417,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,950.875,,,
177910,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,1261.125,7.0,ALCANZO VACANTE,
187438,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,1211.5,10.0,ALCANZO VACANTE,
175908,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,836.375,,,
122293,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,768.75,,,
179889,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,928.125,,,
151832,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,1139.0,,,
197248,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,1393.5,1.0,ALCANZO VACANTE,
178762,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,821.0,,,
114182,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,1153.125,,,
160170,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,922.0,,,
174985,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,1200.625,12.0,ALCANZO VACANTE,
186555,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,857.5,,,
107875,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,818.125,,,
187951,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,1099.0,,,
121543,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,928.5,,,
194755,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,1041.75,,,
151331,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,1212.5,9.0,ALCANZO VACANTE,
103932,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,,,AUSENTE,
144240,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,891.625,,,
149402,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,1169.25,17.0,ALCANZO VACANTE,
181861,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,658.875,,,
107434,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,840.625,,,
125945,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,1040.125,,,
195013,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,731.5,,,
157355,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,1013.875,,,
