id,carrera,puntaje,vacante,observacion,segunda_opcion
131629,TEC. MED. RADIOLOGÍA,664.5,,,
143442,TEC. MED. RADIOLOGÍA,832.375,,,
194811,TEC. MED. RADIOLOGÍA,772.875,,,
182538,TEC. MED. RADIOLOGÍA,946.0,,,
120250,TEC. MED. RADIOLOGÍA,1085.625,11.0,ALCANZO VACANTE,
199794,TEC. MED. RADIOLOGÍA,1142.375,4.0,ALCANZO VACANTE,
116460,TEC. MED. RADIOLOGÍA,866.625,,,
105081,TEC. MED. RADIOLOGÍA,627.5,,,
148388,TEC. MED. RADIOLOGÍA,980.5,,,
139475,TEC. MED. RADIOLOGÍA,714.75,,,
145450,TEC. MED. RADIOLOGÍA,924.875,,,
192262,TEC. MED. RADIOLOGÍA,725.625,,,
199355,TEC. MED. RADIOLOGÍA,1017.375,,,
166017,TEC. MED. RADIOLOGÍA,989.375,,,
127462,TEC. MED. RADIOLOGÍA,834.875,,,
138650,TEC. MED. RADIOLOGÍA,983.0,,,
161665,TEC. MED. RADIOLOGÍA,1006.375,,,
130254,TEC. MED. RADIOLOGÍA,1101.25,9.0,ALCANZO VACANTE,
167387,TEC. MED. RADIOLOGÍA,830.125,,,
119924,TEC. MED. RADIOLOGÍA,771.875,,,
167058,TEC. MED. RADIOLOGÍA,889.5,,,
131531,TEC. MED. RADIOLOGÍA,1121.875,6.0,ALCANZO VACANTE,
112665,TEC. MED. RADIOLOGÍA,586.75,,,
181909,TEC. MED. RADIOLOGÍA,558.875,,,
183114,TEC. MED. RADIOLOGÍA,653.5,,,
149583,TEC. MED. RADIOLOGÍA,530.75,,,
156421,TEC. MED. RADIOLOGÍA,794.125,,,
163294,TEC. MED. RADIOLOGÍA,843.25,,,
162230,TEC. MED. RADIOLOGÍA,860.375,,,
116254,TEC. MED. RADIOLOGÍA,906.875,,,
160410,TEC. MED. RADIOLOGÍA,730.75,,,
191541,TEC. MED. RADIOLOGÍA,835.375,,,
121503,TEC. MED. RADIOLOGÍA,763.5,,,
139134,TEC. MED. RADIOLOGÍA,726.625,,,
186654,TEC. MED. RADIOLOGÍA,880.75,,,
164778,TEC. MED. RADIOLOGÍA,657.125,,,
152776,TEC. MED. RADIOLOGÍA,777.0,,,
183754,TEC. MED. RADIOLOGÍA,991.125,,,
127082,TEC. MED. RADIOLOGÍA,851.25,,,
184907,TEC. MED. RADIOLOGÍA,1007.875,,,
192394,TEC. MED. RADIOLOGÍA,616.125,,,
190000,TEC. MED. RADIOLOGÍA,799.25,,,
171309,TEC. MED. RADIOLOGÍA,1022.5,17.0,ALCANZO VACANTE,
161414,TEC. MED. RADIOLOGÍA,1017.375,,,
196139,TEC. MED. RADIOLOGÍA,839.375,,,
137396,TEC. MED. RADIOLOGÍA,902.625,,,
110242,TEC. MED. RADIOLOGÍA,830.625,,,
176675,TEC. MED. RADIOLOGÍA,514.0,,,
194896,TEC. MED. RADIOLOGÍA,1005.75,,,
140229,TEC. MED. RADIOLOGÍA,995.125,,,
168478,TEC. MED. RADIOLOGÍA,693.0,,,
143400,TEC. MED. RADIOLOGÍA,824.875,,,
187521,TEC. MED. RADIOLOGÍA,851.0,,,
171045,TEC. MED. RADIOLOGÍA,920.875,,,
156132,TEC. MED. RADIOLOGÍA,787.125,,,
191168,TEC. MED. RADIOLOGÍA,1119.0,7.0,ALCANZO VACANTE,
152284,TEC. MED. RADIOLOGÍA,919.75,,,
161918,TEC. MED. RADIOLOGÍA,994.875,,,
118935,TEC. MED. RADIOLOGÍA,523.125,,,
126136,TEC. MED. RADIOLOGÍA,683.25,,,
190324,TEC. MED. RADIOLOGÍA,733.875,,,
163219,TEC. MED. RADIOLOGÍA,444.25,,,
